topic,tweetid,text
benghazi,7.05E+17,"""Yet Hillary claims he was a close, personal friend? #Benghazi https://t.co/8cZXXHuBQg """
benghazi,7.05E+17,"""#Hillary spends 11 hrs testifying to Congress about #Benghazi; #DonaldTrump disavows white supremacy once &amp; can't be bothered to do it again """
benghazi,7.05E+17,"""Many Democrats frustrated with their only choice being a #Lying #Corrupt #Socialist responsible for American deaths in #Benghazi. """
benghazi,7.05E+17,"""The playing down of #Benghazi as a ""right-wing conspiracy"" has been incredibly effective propaganda. #SuperTuesday https://t.co/2BopEQtTH0 """
benghazi,7.05E+17,"""#BENGHAZI HEROES Endorse Donald #Trump _ÑÒThere Is No Question Trump Will Protect Our Warriors_Ñù https://t.co/gPlCdv6EaA @gatewaypundit """
benghazi,7.05E+17,"""The question is: Will #HillaryClinton leave more #Americans dead if she became the #Commander in Chief? #Benghazi #Leave No Man Behind """
benghazi,7.05E+17,"""#Benghazi Email Implicates Hillary In Stooping Rescue Ready To Go https://t.co/z8WV7uvqUr _Ñ_ - #PJNET - https://t.co/22votPxFKX 123 """
benghazi,7.05E+17,"""Man claiming to be #Marine says #HillaryClinton tried to 'cover' up #Benghazi, removed from campaign rally https://t.co/oCpAmJ1isF """
benghazi,7.05E+17,"""Murdered US Ambassador Thought about Leaving 17 Months Before He was Killed  https://t.co/HP9lOwynVP #tcot #Benghazi https://t.co/zDMNBjGVSf """
benghazi,7.05E+17,"""@trscoop @RNRMaryland Did trump leave 36 men &amp; women to die #Benghazi ? No contest. """
benghazi,7.05E+17,"""How #Islamists knew - #Hillary #Email Betrayed Whereabouts of Murdered Ambassador #Stevens #Benghazi smoking gun https://t.co/c9LPRqtvBj """
benghazi,7.05E+17,"""AND WE DON'T WANT A CRIMINAL WHO WATCHED OUR GUYS DIE ON LIVE DRONE FEED IN #Benghazi @HillaryClinton @BostonGlobe  https://t.co/izTgq9dRnX """
benghazi,7.04E+17,"""@cher what do you say about hillary allowing our guys to die in #Benghazi when she knew exactly what was going on and didn't do anything?? """
benghazi,7.05E+17,"""@HillaryClinton I believe you should stand trial alone. #YouDidThis #Benghazi #EmailGate """
benghazi,7.05E+17,"""It's not about anybody but #Hillary she did this to hide something #NeverHillary #Benghazi #ChooseCruz #SuperTuesday https://t.co/FezyrTRlMA """
